order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
ORD-000034,CUST-09976,2025-07-16,PROD-0173,2,1066.42,2132.84,Completed,2025-07-19
ORD-000035,CUST-01197,2023-07-05,PROD-0427,2,864.27,1728.54,Completed,2023-07-08
ORD-000036,CUST-01145,2024-09-06,PROD-0081,8,196.71,1573.68,Pending,2024-09-07
ORD-000037,CUST-09460,2023-02-17,PROD-0134,3,378.51,1135.53,Completed,2023-02-18
ORD-000038,CUST-01440,2024-09-22,PROD-0277,8,1490.51,11924.08,Completed,2024-09-25
ORD-000039,CUST-05558,2025-03-31,PROD-0401,2,1443.22,2886.44,Pending,2025-04-01
ORD-000040,CUST-00090,2023-09-16,PROD-0004,6,698.21,4189.26,Completed,2023-09-16
ORD-000041,CUST-05395,2023-10-07,PROD-0395,5,1263.31,6316.55,Completed,2023-10-10
ORD-000042,CUST-02476,2023-03-07,PROD-0035,3,1098.64,3295.92,Pending,2023-03-08
ORD-000043,CUST-05672,2024-09-27,PROD-0491,7,610.14,4270.98,Completed,2024-09-29
ORD-000044,CUST-00679,2023-03-19,PROD-0375,3,746.37,2239.11,Completed,2023-03-22
ORD-000045,CUST-04651,2023-01-16,PROD-0161,1,1404.46,1404.46,Completed,2023-01-17
ORD-000046,CUST-03816,2024-12-29,PROD-0477,2,631.15,1262.30,Completed,2024-12-29
ORD-000047,CUST-02927,2024-12-26,PROD-0215,5,1235.75,6178.75,Completed,2024-12-26
ORD-000048,CUST-09845,2023-05-24,PROD-0346,4,566.26,2265.04,Cancelled,2023-05-27
ORD-000049,CUST-00590,2025-01-14,PROD-0474,6,293.22,1759.32,Pending,2025-01-16
ORD-000050,CUST-00299,2024-11-15,PROD-0117,8,222.13,1777.04,Completed,2024-11-17
ORD-000051,CUST-00181,2023-12-18,PROD-0072,3,1306.07,3918.21,Completed,2023-12-20
ORD-000052,CUST-05916,2025-07-23,PROD-0188,8,29.33,234.64,Completed,2025-07-26
ORD-000053,CUST-05539,2023-06-27,PROD-0215,8,1235.75,9886.00,Completed,2023-06-30
ORD-000054,CUST-09616,2023-09-09,PROD-0119,4,119.48,477.92,Completed,2023-09-10
ORD-000055,CUST-03056,2023-08-01,PROD-0072,3,1306.07,3918.21,Completed,2023-08-03
ORD-000056,CUST-04055,2023-03-06,PROD-0138,4,208.80,835.20,Completed,2023-03-09
ORD-000057,CUST-09654,2023-03-07,PROD-0397,5,1268.06,6340.30,Completed,2023-03-07
ORD-000058,CUST-03499,2025-12-02,PROD-0321,5,1315.57,6577.85,Returned,2025-12-05
ORD-000059,CUST-00500,2024-09-29,PROD-0306,8,344.22,2753.76,Cancelled,2024-10-02
ORD-000060,CUST-04572,2025-09-09,PROD-0273,1,821.87,821.87,Completed,2025-09-12
ORD-000061,CUST-06388,2025-09-15,PROD-0050,4,718.81,2875.24,Completed,2025-09-15
ORD-000062,CUST-06153,2023-04-12,PROD-0243,5,438.45,2192.25,Completed,2023-04-15
ORD-000063,CUST-05586,2024-10-16,PROD-0269,5,1467.18,7335.90,Completed,2024-10-16
ORD-000064,CUST-07476,2025-01-27,PROD-0329,5,63.87,319.35,Completed,2025-01-29
ORD-000065,CUST-03694,2025-07-30,PROD-0407,7,1496.59,10476.13,Completed,2025-08-01
ORD-000066,CUST-09878,2025-12-25,PROD-0054,8,397.78,3182.24,Completed,2025-12-26
ORD-000067,CUST-09308,2024-06-10,PROD-0374,6,1458.00,8748.00,Completed,2024-06-13
ORD-000068,CUST-08146,2023-03-09,PROD-0470,5,942.99,4714.95,Completed,2023-03-11
ORD-000069,CUST-08680,2025-02-21,PROD-0280,2,908.03,1816.06,Completed,2025-02-23
ORD-000070,CUST-04554,2025-08-12,PROD-0015,2,716.63,1433.26,Pending,2025-08-15
ORD-000071,CUST-05061,2025-03-09,PROD-0159,8,1443.19,11545.52,Returned,2025-03-11
ORD-000072,CUST-02217,2023-02-20,PROD-0074,4,999.66,3998.64,Completed,2023-02-20
ORD-000073,CUST-05310,2024-09-06,PROD-0357,8,1396.01,11168.08,Completed,2024-09-08
ORD-000074,CUST-06633,2025-04-20,PROD-0243,8,438.45,3507.60,Completed,2025-04-21
ORD-000075,CUST-04992,2025-09-23,PROD-0440,3,654.28,1962.84,Completed,2025-09-25
ORD-000076,CUST-08459,2023-06-27,PROD-0158,3,635.16,1905.48,Completed,2023-06-27
ORD-000077,CUST-07487,2025-04-04,PROD-0382,1,247.47,247.47,Pending,2025-04-07
ORD-000078,CUST-06424,2025-03-26,PROD-0109,6,632.65,3795.90,Completed,2025-03-28
ORD-000079,CUST-04456,2025-02-04,PROD-0279,3,594.98,1784.94,Pending,2025-02-04
ORD-000080,CUST-09464,2025-06-04,PROD-0353,4,1281.87,5127.48,Completed,2025-06-04
ORD-000081,CUST-03272,2024-09-13,PROD-0381,7,1295.37,9067.59,Completed,2024-09-14
ORD-000082,CUST-09255,2023-05-04,PROD-0051,7,287.13,2009.91,Completed,2023-05-06
ORD-000083,CUST-06651,2025-01-05,PROD-0239,8,1083.94,8671.52,Pending,2025-01-05
ORD-000084,CUST-08382,2024-09-18,PROD-0203,6,1480.43,8882.58,Completed,2024-09-18
ORD-000085,CUST-01791,2023-08-16,PROD-0147,1,41.84,41.84,Pending,2023-08-16
ORD-000086,CUST-02086,2025-10-27,PROD-0264,8,1175.67,9405.36,Completed,2025-10-30
ORD-000087,CUST-08207,2025-01-04,PROD-0462,3,1478.64,4435.92,Completed,2025-01-04
ORD-000088,CUST-06611,2025-07-22,PROD-0048,8,1026.78,8214.24,Completed,2025-07-24
ORD-000089,CUST-06497,2025-06-07,PROD-0136,1,317.17,317.17,Pending,2025-06-09
ORD-000090,CUST-08204,2023-01-22,PROD-0486,4,1019.45,4077.80,Returned,2023-01-24
ORD-000091,CUST-08467,2024-10-15,PROD-0049,2,876.30,1752.60,Pending,2024-10-16
ORD-000092,CUST-06729,2023-01-18,PROD-0232,5,570.84,2854.20,Completed,2023-01-18
ORD-000093,CUST-00591,2024-05-22,PROD-0136,1,317.17,317.17,Completed,2024-05-25
ORD-000094,CUST-04966,2024-11-26,PROD-0366,2,273.08,546.16,Completed,2024-11-27
ORD-000095,CUST-04589,2024-11-13,PROD-0100,8,901.82,7214.56,Completed,2024-11-13
ORD-000096,CUST-06874,2023-01-01,PROD-0200,8,741.00,5928.00,Completed,2023-01-04
ORD-000097,CUST-08559,2024-04-18,PROD-0177,8,830.55,6644.40,Completed,2024-04-21
ORD-000098,CUST-08173,2024-12-24,PROD-0055,2,1244.52,2489.04,Completed,2024-12-27
ORD-000099,CUST-09995,2023-03-16,PROD-0390,7,67.15,470.05,Pending,2023-03-19
ORD-000100,CUST-08063,2023-05-07,PROD-0137,5,652.14,3260.70,Completed,2023-05-08
ORD-000101,CUST-00940,2025-09-18,PROD-0223,8,544.58,4356.64,Completed,2025-09-19
ORD-000102,CUST-02421,2023-11-09,PROD-0193,2,644.67,1289.34,Returned,2023-11-10
ORD-000103,CUST-00828,2023-08-04,PROD-0220,8,1349.60,10796.80,Cancelled,2023-08-07
ORD-000104,CUST-06602,2025-07-04,PROD-0063,1,665.71,665.71,Pending,2025-07-06
ORD-000105,CUST-02125,2025-06-23,PROD-0207,4,1093.32,4373.28,Completed,2025-06-25
ORD-000106,CUST-09225,2023-04-06,PROD-0438,7,1018.83,7131.81,Completed,2023-04-08
ORD-000107,CUST-00098,2025-07-27,PROD-0102,3,342.27,1026.81,Pending,2025-07-30
ORD-000108,CUST-03667,2025-09-20,PROD-0270,3,699.13,2097.39,Returned,2025-09-22
ORD-000109,CUST-01768,2023-04-28,PROD-0155,5,655.30,3276.50,Completed,2023-04-28
ORD-000110,CUST-08782,2024-03-19,PROD-0121,6,794.90,4769.40,Completed,2024-03-22
ORD-000111,CUST-07283,2025-03-16,PROD-0096,3,657.61,1972.83,Completed,2025-03-17
ORD-000112,CUST-07064,2025-07-27,PROD-0349,8,460.96,3687.68,Completed,2025-07-30
ORD-000113,CUST-01827,2025-06-30,PROD-0273,2,821.87,1643.74,Pending,2025-06-30
ORD-000114,CUST-01269,2025-07-19,PROD-0477,8,631.15,5049.20,Completed,2025-07-19
ORD-000115,CUST-05927,2024-03-05,PROD-0231,5,891.76,4458.80,Completed,2024-03-07
ORD-000116,CUST-02902,2024-10-06,PROD-0209,7,268.36,1878.52,Completed,2024-10-08
ORD-000117,CUST-09851,2023-06-29,PROD-0365,2,973.52,1947.04,Completed,2023-07-02
ORD-000118,CUST-03205,2023-06-11,PROD-0232,5,570.84,2854.20,Completed,2023-06-12
ORD-000119,CUST-04662,2024-06-24,PROD-0207,5,1093.32,5466.60,Completed,2024-06-27
ORD-000120,CUST-08540,2023-10-06,PROD-0440,2,654.28,1308.56,Completed,2023-10-06
ORD-000121,CUST-07204,2024-05-24,PROD-0049,2,876.30,1752.60,Completed,2024-05-25
ORD-000122,CUST-06617,2024-03-03,PROD-0274,7,222.79,1559.53,Completed,2024-03-06
ORD-000123,CUST-01582,2023-04-11,PROD-0110,6,1484.79,8908.74,Completed,2023-04-13
ORD-000124,CUST-03613,2024-07-16,PROD-0442,7,175.29,1227.03,Completed,2024-07-19
ORD-000125,CUST-08948,2025-10-25,PROD-0109,8,632.65,5061.20,Cancelled,2025-10-26
ORD-000126,CUST-01741,2024-11-06,PROD-0080,4,566.47,2265.88,Completed,2024-11-08
ORD-000127,CUST-03443,2025-08-23,PROD-0058,7,815.03,5705.21,Completed,2025-08-23
ORD-000128,CUST-03431,2023-03-01,PROD-0483,1,688.73,688.73,Completed,2023-03-04
ORD-000129,CUST-04680,2025-09-24,PROD-0266,7,190.20,1331.40,Cancelled,2025-09-26
ORD-000130,CUST-03602,2023-01-27,PROD-0199,1,1342.74,1342.74,Completed,2023-01-30
ORD-000131,CUST-07180,2025-10-06,PROD-0493,5,1387.58,6937.90,Completed,2025-10-06
ORD-000132,CUST-07631,2025-08-31,PROD-0131,1,235.36,235.36,Completed,2025-09-01
ORD-000133,CUST-07702,2024-12-09,PROD-0273,3,821.87,2465.61,Completed,2024-12-09
ORD-000134,CUST-02655,2023-03-19,PROD-0245,5,1257.32,6286.60,Pending,2023-03-20
ORD-000135,CUST-01332,2025-11-18,PROD-0099,6,1106.97,6641.82,Completed,2025-11-20
ORD-000136,CUST-03786,2023-11-01,PROD-0377,5,378.38,1891.90,Completed,2023-11-03
ORD-000137,CUST-06369,2024-11-30,PROD-0209,3,268.36,805.08,Completed,2024-12-01
ORD-000138,CUST-05725,2024-10-29,PROD-0129,6,376.00,2256.00,Pending,2024-10-29
ORD-000139,CUST-07914,2023-11-14,PROD-0254,7,1450.07,10150.49,Completed,2023-11-15
ORD-000140,CUST-01574,2023-07-07,PROD-0360,1,1317.94,1317.94,Returned,2023-07-09
ORD-000141,CUST-01093,2023-09-01,PROD-0064,1,1032.39,1032.39,Completed,2023-09-04
ORD-000142,CUST-06837,2024-09-28,PROD-0109,5,632.65,3163.25,Completed,2024-09-30
ORD-000143,CUST-06616,2023-11-19,PROD-0073,8,46.09,368.72,Completed,2023-11-19
ORD-000144,CUST-08371,2024-08-13,PROD-0253,5,532.95,2664.75,Pending,2024-08-13
ORD-000145,CUST-03618,2023-12-13,PROD-0066,7,15.35,107.45,Completed,2023-12-15
ORD-000146,CUST-04571,2024-01-29,PROD-0158,4,635.16,2540.64,Completed,2024-02-01
ORD-000147,CUST-06084,2025-04-28,PROD-0130,1,1166.83,1166.83,Completed,2025-04-29
ORD-000148,CUST-06416,2024-07-16,PROD-0200,2,741.00,1482.00,Cancelled,2024-07-16
ORD-000149,CUST-01692,2024-09-04,PROD-0151,4,910.20,3640.80,Completed,2024-09-05
ORD-000150,CUST-07895,2025-10-19,PROD-0184,3,779.55,2338.65,Completed,2025-10-19
ORD-000151,CUST-03674,2023-02-11,PROD-0147,2,41.84,83.68,Returned,2023-02-11
ORD-000152,CUST-07370,2023-02-07,PROD-0387,6,247.81,1486.86,Completed,2023-02-10
ORD-000153,CUST-06507,2025-09-28,PROD-0405,4,1349.59,5398.36,Completed,2025-09-28
ORD-000154,CUST-05601,2024-03-27,PROD-0478,2,777.39,1554.78,Completed,2024-03-28
ORD-000155,CUST-00326,2024-05-20,PROD-0275,7,298.75,2091.25,Completed,2024-05-20
ORD-000156,CUST-03216,2025-12-28,PROD-0119,2,119.48,238.96,Completed,2025-12-28
ORD-000157,CUST-00772,2025-03-29,PROD-0377,5,378.38,1891.90,Completed,2025-04-01
ORD-000158,CUST-01607,2023-11-28,PROD-0186,6,734.57,4407.42,Completed,2023-11-29
ORD-000159,CUST-08210,2023-12-08,PROD-0309,2,1130.58,2261.16,Completed,2023-12-10
ORD-000160,CUST-05514,2023-08-31,PROD-0328,2,775.14,1550.28,Completed,2023-09-02
ORD-000161,CUST-06888,2024-01-28,PROD-0366,2,273.08,546.16,Completed,2024-01-31
ORD-000162,CUST-06238,2024-03-24,PROD-0330,7,1402.10,9814.70,Completed,2024-03-25
ORD-000163,CUST-06835,2023-12-07,PROD-0399,5,1277.20,6386.00,Completed,2023-12-10
ORD-000164,CUST-06938,2025-01-24,PROD-0487,6,386.93,2321.58,Completed,2025-01-24
ORD-000165,CUST-05724,2024-03-19,PROD-0184,5,779.55,3897.75,Completed,2024-03-19
ORD-000166,CUST-09228,2025-06-04,PROD-0232,7,570.84,3995.88,Completed,2025-06-06
ORD-000167,CUST-07525,2025-12-30,PROD-0495,6,887.40,5324.40,Pending,2026-01-02
ORD-000168,CUST-03546,2025-12-01,PROD-0438,8,1018.83,8150.64,Returned,2025-12-02
ORD-000169,CUST-01284,2024-11-08,PROD-0339,7,1140.46,7983.22,Completed,2024-11-10
ORD-000170,CUST-06156,2023-10-27,PROD-0295,1,891.67,891.67,Returned,2023-10-27
ORD-000171,CUST-05515,2025-03-27,PROD-0199,2,1342.74,2685.48,Returned,2025-03-28
ORD-000172,CUST-03405,2025-09-28,PROD-0488,7,690.34,4832.38,Completed,2025-09-28
ORD-000173,CUST-03495,2024-05-02,PROD-0320,6,21.50,129.00,Completed,2024-05-03
ORD-000174,CUST-08576,2025-08-01,PROD-0327,7,1468.94,10282.58,Completed,2025-08-04
ORD-000175,CUST-08846,2024-09-02,PROD-0252,2,297.03,594.06,Completed,2024-09-04
ORD-000176,CUST-01987,2023-02-01,PROD-0454,6,535.12,3210.72,Completed,2023-02-01
ORD-000177,CUST-02208,2023-02-13,PROD-0246,7,664.49,4651.43,Completed,2023-02-16
ORD-000178,CUST-04636,2023-11-17,PROD-0201,8,784.19,6273.52,Pending,2023-11-17
ORD-000179,CUST-04814,2023-07-29,PROD-0164,4,892.43,3569.72,Cancelled,2023-07-30
ORD-000180,CUST-01113,2023-12-25,PROD-0334,7,674.37,4720.59,Completed,2023-12-25
ORD-000181,CUST-00809,2024-05-10,PROD-0308,8,143.66,1149.28,Completed,2024-05-10
ORD-000182,CUST-03848,2024-12-20,PROD-0309,5,1130.58,5652.90,Completed,2024-12-20
ORD-000183,CUST-02022,2025-11-09,PROD-0303,7,20.11,140.77,Completed,2025-11-12
ORD-000184,CUST-05676,2025-07-11,PROD-0156,4,447.51,1790.04,Completed,2025-07-12
ORD-000185,CUST-07088,2023-11-05,PROD-0119,2,119.48,238.96,Completed,2023-11-05
ORD-000186,CUST-00478,2024-11-23,PROD-0279,3,594.98,1784.94,Completed,2024-11-25
ORD-000187,CUST-09857,2025-06-15,PROD-0108,3,54.22,162.66,Completed,2025-06-18
ORD-000188,CUST-03907,2024-11-08,PROD-0158,8,635.16,5081.28,Completed,2024-11-09
ORD-000189,CUST-06276,2023-12-21,PROD-0350,8,875.14,7001.12,Completed,2023-12-24
ORD-000190,CUST-05399,2025-07-26,PROD-0409,5,8.03,40.15,Completed,2025-07-27
ORD-000191,CUST-04249,2023-01-07,PROD-0015,6,716.63,4299.78,Completed,2023-01-08
ORD-000192,CUST-07789,2023-06-05,PROD-0104,1,1396.25,1396.25,Returned,2023-06-08
ORD-000193,CUST-07796,2023-12-12,PROD-0203,2,1480.43,2960.86,Pending,2023-12-13
ORD-000194,CUST-02292,2024-02-20,PROD-0479,4,934.97,3739.88,Completed,2024-02-21
ORD-000195,CUST-02064,2024-06-29,PROD-0049,3,876.30,2628.90,Completed,2024-07-01
ORD-000196,CUST-03071,2023-11-01,PROD-0119,5,119.48,597.40,Completed,2023-11-01
ORD-000197,CUST-03329,2023-12-08,PROD-0223,4,544.58,2178.32,Completed,2023-12-11
ORD-000198,CUST-00292,2023-02-03,PROD-0291,5,1325.68,6628.40,Returned,2023-02-05
ORD-000199,CUST-07091,2024-02-07,PROD-0456,2,978.12,1956.24,Completed,2024-02-10
ORD-000200,CUST-08405,2024-12-13,PROD-0393,8,741.73,5933.84,Completed,2024-12-16
ORD-000201,CUST-04047,2025-03-16,PROD-0274,1,222.79,222.79,Completed,2025-03-17
ORD-000202,CUST-04163,2024-10-14,PROD-0312,5,755.89,3779.45,Completed,2024-10-16
ORD-000203,CUST-01243,2023-04-23,PROD-0353,4,1281.87,5127.48,Cancelled,2023-04-24
ORD-000204,CUST-00647,2024-05-28,PROD-0274,6,222.79,1336.74,Cancelled,2024-05-28
ORD-000205,CUST-05718,2024-10-05,PROD-0221,8,678.59,5428.72,Completed,2024-10-08
ORD-000206,CUST-05720,2024-08-24,PROD-0369,3,576.09,1728.27,Pending,2024-08-26
ORD-000207,CUST-05736,2025-06-11,PROD-0335,8,1059.11,8472.88,Completed,2025-06-12
ORD-000208,CUST-04064,2025-01-18,PROD-0049,1,876.30,876.30,Completed,2025-01-20
ORD-000209,CUST-07404,2025-07-26,PROD-0332,6,805.22,4831.32,Pending,2025-07-27
ORD-000210,CUST-02196,2024-12-09,PROD-0036,4,1290.69,5162.76,Completed,2024-12-09
ORD-000211,CUST-01516,2023-06-07,PROD-0415,3,307.97,923.91,Completed,2023-06-08
ORD-000212,CUST-09821,2025-11-18,PROD-0355,7,1287.38,9011.66,Completed,2025-11-18
ORD-000213,CUST-06261,2023-05-01,PROD-0143,3,139.72,419.16,Completed,2023-05-01
ORD-000214,CUST-07595,2023-09-04,PROD-0088,4,950.89,3803.56,Returned,2023-09-04
ORD-000215,CUST-04478,2023-04-09,PROD-0047,6,63.64,381.84,Pending,2023-04-10
ORD-000216,CUST-01034,2023-12-15,PROD-0272,6,223.56,1341.36,Completed,2023-12-15
ORD-000217,CUST-09956,2024-04-27,PROD-0260,7,1368.27,9577.89,Completed,2024-04-30
ORD-000218,CUST-06248,2023-01-18,PROD-0429,3,911.10,2733.30,Completed,2023-01-18
ORD-000219,CUST-07889,2023-04-16,PROD-0126,6,1183.01,7098.06,Returned,2023-04-16
ORD-000220,CUST-01022,2025-03-26,PROD-0057,5,1304.77,6523.85,Completed,2025-03-28
ORD-000221,CUST-03696,2024-12-29,PROD-0395,4,1263.31,5053.24,Completed,2024-12-30
ORD-000222,CUST-09589,2024-09-07,PROD-0381,5,1295.37,6476.85,Cancelled,2024-09-10
ORD-000223,CUST-06351,2024-03-26,PROD-0028,7,179.81,1258.67,Pending,2024-03-26
ORD-000224,CUST-01226,2023-09-17,PROD-0219,2,1064.57,2129.14,Completed,2023-09-19
ORD-000225,CUST-05640,2023-06-09,PROD-0117,7,222.13,1554.91,Completed,2023-06-10
ORD-000226,CUST-08417,2024-08-01,PROD-0109,8,632.65,5061.20,Returned,2024-08-04
ORD-000227,CUST-04993,2023-01-19,PROD-0484,2,1030.23,2060.46,Completed,2023-01-20
ORD-000228,CUST-03539,2023-11-12,PROD-0321,6,1315.57,7893.42,Completed,2023-11-13
ORD-000229,CUST-02710,2025-09-23,PROD-0284,2,145.06,290.12,Completed,2025-09-23
ORD-000230,CUST-04864,2024-05-21,PROD-0198,1,583.19,583.19,Completed,2024-05-23
ORD-000231,CUST-05110,2025-12-07,PROD-0051,3,287.13,861.39,Completed,2025-12-10
ORD-000232,CUST-03068,2023-12-15,PROD-0371,3,214.85,644.55,Cancelled,2023-12-16
ORD-000233,CUST-08215,2024-09-19,PROD-0403,5,1047.42,5237.10,Completed,2024-09-19
ORD-000234,CUST-00047,2025-12-31,PROD-0337,1,461.06,461.06,Completed,2026-01-02
ORD-000235,CUST-03729,2025-04-16,PROD-0141,3,656.09,1968.27,Cancelled,2025-04-17
ORD-000236,CUST-09091,2025-03-07,PROD-0157,4,377.70,1510.80,Completed,2025-03-09
ORD-000237,CUST-05277,2025-08-24,PROD-0084,5,1417.48,7087.40,Completed,2025-08-24
ORD-000238,CUST-08222,2023-05-17,PROD-0071,1,178.65,178.65,Completed,2023-05-17
ORD-000239,CUST-06120,2023-09-02,PROD-0177,3,830.55,2491.65,Completed,2023-09-04
ORD-000240,CUST-00517,2023-09-30,PROD-0221,3,678.59,2035.77,Completed,2023-10-03
ORD-000241,CUST-02701,2025-12-29,PROD-0065,3,1433.14,4299.42,Completed,2025-12-30
ORD-000242,CUST-07644,2025-03-19,ORPHAN-PROD-ORD-000242,8,910.20,7281.60,Cancelled,2025-03-21
ORD-000243,CUST-09206,2023-03-22,PROD-0293,8,273.46,2187.68,Pending,2023-03-25
ORD-000244,CUST-05897,2023-06-09,PROD-0069,3,1477.16,4431.48,Completed,2023-06-10
ORD-000245,CUST-01438,2024-06-07,PROD-0125,7,1397.46,9782.22,Cancelled,2024-06-09
ORD-000246,CUST-09328,2025-05-13,PROD-0332,8,805.22,6441.76,Cancelled,2025-05-15
ORD-000247,CUST-05328,2025-12-20,PROD-0165,4,71.69,286.76,Completed,2025-12-20
ORD-000248,CUST-05469,2025-06-17,PROD-0221,8,678.59,5428.72,Completed,2025-06-20
ORD-000249,CUST-05409,2023-05-02,PROD-0415,3,307.97,923.91,Completed,2023-05-03
ORD-000250,CUST-01445,2023-06-24,PROD-0407,2,1496.59,2993.18,Completed,2023-06-24
ORD-000251,CUST-06122,2023-09-22,PROD-0004,4,698.21,2792.84,Cancelled,2023-09-22
ORD-000252,CUST-00482,2023-12-05,PROD-0019,6,96.00,576.00,Completed,2023-12-07
ORD-000253,CUST-08936,2024-10-19,PROD-0178,6,701.82,4210.92,Completed,2024-10-22
ORD-000254,CUST-00853,2024-03-18,PROD-0407,5,1496.59,7482.95,Completed,2024-03-18
ORD-000255,CUST-00077,2023-03-17,PROD-0455,3,1196.10,3588.30,Returned,2023-03-17
ORD-000256,CUST-00504,2024-07-24,PROD-0488,1,690.34,690.34,Completed,2024-07-27
ORD-000257,CUST-05702,2023-08-26,PROD-0336,2,110.33,220.66,Cancelled,2023-08-27
ORD-000258,CUST-04679,2023-07-10,PROD-0281,1,247.09,247.09,Completed,2023-07-11
ORD-000259,CUST-07568,2023-05-06,PROD-0234,6,953.36,5720.16,Completed,2023-05-07
ORD-000260,CUST-09316,2025-12-26,PROD-0377,2,378.38,756.76,Completed,2025-12-29
ORD-000261,CUST-06785,2025-03-11,PROD-0249,3,1430.22,4290.66,Completed,2025-03-14
ORD-000262,CUST-05255,2024-10-17,PROD-0172,6,1346.59,8079.54,Completed,2024-10-19
ORD-000263,CUST-01440,2023-04-25,PROD-0375,7,746.37,5224.59,Completed,2023-04-26
ORD-000264,CUST-06517,2025-07-10,PROD-0400,8,685.66,5485.28,Pending,2025-07-12
ORD-000265,CUST-07910,2024-04-30,PROD-0114,6,289.14,1734.84,Completed,2024-05-02
ORD-000266,CUST-08371,2025-03-24,PROD-0437,5,109.12,545.60,Completed,2025-03-27
ORD-000267,CUST-09498,2023-04-29,PROD-0451,2,260.33,520.66,Completed,2023-05-01
ORD-000268,CUST-05834,2024-01-05,PROD-0208,5,38.47,192.35,Completed,2024-01-08
ORD-000269,CUST-03325,2024-03-02,PROD-0103,4,186.66,746.64,Completed,2024-03-03
ORD-000270,CUST-08280,2023-04-29,PROD-0396,3,1177.42,3532.26,Completed,2023-04-29
ORD-000271,CUST-05986,2025-09-15,PROD-0406,7,713.03,4991.21,Pending,2025-09-16
ORD-000272,CUST-02149,2023-12-08,PROD-0115,2,1159.17,2318.34,Completed,2023-12-11
ORD-000273,CUST-04477,2023-08-29,PROD-0369,2,576.09,1152.18,Completed,2023-08-31
ORD-000274,CUST-07631,2025-05-09,PROD-0448,5,134.66,673.30,Completed,2025-05-11
ORD-000275,CUST-02918,2024-11-07,PROD-0301,7,851.94,5963.58,Completed,2024-11-08
ORD-000276,CUST-04524,2025-11-24,PROD-0204,7,195.67,1369.69,Cancelled,2025-11-27
