product_id,product_name,category,price,cost,stock_quantity,reorder_level
PROD-0036,Throw Pillow 036,Home,1290.69,590.39,127,16
PROD-0037,Yoga Mat 037,Sports,620.83,396.79,415,122
PROD-0038,Sunscreen 038,Beauty,1498.29,534.50,669,88
PROD-0039,Modern Fiction 039,Books,1152.42,890.44,872,146
PROD-0040,Face Cleanser 040,Beauty,581.73,439.27,154,80
PROD-0041,Denim Jacket 041,Clothing,80.24,60.68,603,95
PROD-0042,Smart Watch 042,Electronics,51.81,33.06,873,41
PROD-0043,Training Gloves 043,Sports,685.67,240.77,682,22
PROD-0044,Resistance Bands 044,Sports,1242.93,437.27,914,114
PROD-0045,Smart Watch 045,Electronics,793.24,393.45,666,100
PROD-0046,Sunscreen 046,Beauty,408.56,249.15,211,40
PROD-0047,Bluetooth Speaker 047,Electronics,63.64,44.50,544,125
PROD-0048,Hair Serum 048,Beauty,1026.78,565.62,134,34
PROD-0049,Face Cleanser 049,Beauty,876.30,406.59,774,24
PROD-0050,Throw Pillow 050,Home,718.81,423.47,587,5
PROD-0051,Data Engineering Guide 051,Books,287.13,120.58,197,28
PROD-0052,Throw Pillow 052,Home,413.80,176.29,234,109
PROD-0053,Table Lamp 053,Home,298.10,120.31,780,138
PROD-0054,Face Cleanser 054,Beauty,397.78,261.09,771,57
PROD-0055,Yoga Mat 055,Sports,1244.52,936.98,670,146
PROD-0056,Wireless Headphones 056,Electronics,227.92,100.88,218,141
PROD-0057,Face Cleanser 057,Beauty,1304.77,567.60,214,11
PROD-0058,Table Lamp 058,Home,815.03,539.90,935,37
PROD-0059,Wireless Headphones 059,Electronics,181.62,73.65,594,88
PROD-0060,Sunscreen 060,Beauty,1249.42,541.85,572,39
PROD-0061,Sunscreen 061,Beauty,1079.98,809.50,290,104
PROD-0062,Cookbook 062,Books,263.31,118.38,910,87
PROD-0063,Wireless Headphones 063,Electronics,665.71,351.36,258,19
PROD-0064,Body Lotion 064,Beauty,1032.39,791.07,789,83
PROD-0065,Yoga Mat 065,Sports,1433.14,779.86,24,5
PROD-0066,Coffee Maker 066,Home,15.35,8.44,515,27
PROD-0067,Sunscreen 067,Beauty,1271.27,779.89,468,120
PROD-0068,Wireless Headphones 068,Electronics,94.40,42.13,685,49
PROD-0069,Business Strategy 069,Books,1477.16,951.03,522,117
PROD-0070,Yoga Mat 070,Sports,419.17,280.23,99,60
PROD-0071,Table Lamp 071,Home,178.65,125.90,75,55
PROD-0072,Wireless Headphones 072,Electronics,1306.07,907.44,379,148
PROD-0073,Sunscreen 073,Beauty,46.09,18.32,601,122
PROD-0074,Smart Watch 074,Electronics,999.66,636.83,755,19
PROD-0075,Cookbook 075,Books,173.72,75.11,757,123
PROD-0076,Webcam 076,Electronics,951.81,410.38,151,142
PROD-0077,Webcam 077,Electronics,908.48,491.14,804,49
PROD-0078,Face Cleanser 078,Beauty,1277.71,796.25,968,38
PROD-0079,Webcam 079,Electronics,627.73,265.62,574,34
PROD-0080,Smart Watch 080,Electronics,566.47,401.81,441,130
PROD-0081,Face Cleanser 081,Beauty,196.71,72.74,81,58
PROD-0082,Resistance Bands 082,Sports,961.21,616.61,834,101
PROD-0083,Body Lotion 083,Beauty,1178.72,695.36,494,54
PROD-0084,Cotton T-Shirt 084,Clothing,1417.48,679.32,793,34
PROD-0085,Storage Basket 085,Home,588.57,306.63,694,72
PROD-0086,Smart Watch 086,Electronics,708.37,487.05,984,94
PROD-0087,Throw Pillow 087,Home,1100.77,567.25,313,129
PROD-0088,Smart Watch 088,Electronics,950.89,578.43,118,69
PROD-0089,Wool Sweater 089,Clothing,575.73,401.60,234,108
PROD-0090,Business Strategy 090,Books,1225.07,910.99,720,99
PROD-0091,Body Lotion 091,Beauty,37.76,15.45,571,13
PROD-0092,Cotton T-Shirt 092,Clothing,138.80,85.97,543,34
PROD-0093,Sunscreen 093,Beauty,1391.37,800.80,238,66
PROD-0094,Table Lamp 094,Home,782.87,383.58,842,84
PROD-0095,Storage Basket 095,Home,893.13,563.88,36,25
PROD-0096,Storage Basket 096,Home,657.61,499.53,104,83
PROD-0097,Coffee Maker 097,Home,630.11,322.20,626,139
PROD-0098,Body Lotion 098,Beauty,554.06,310.05,127,93
PROD-0099,Running Shoes 099,Clothing,1106.97,609.33,200,37
PROD-0100,Bluetooth Speaker 100,Electronics,901.82,572.65,951,21
PROD-0101,Face Cleanser 101,Beauty,1423.40,619.37,342,21
PROD-0102,Yoga Mat 102,Sports,342.27,123.36,823,124
PROD-0103,Running Shoes 103,Clothing,186.66,137.61,967,134
PROD-0104,Smart Watch 104,Electronics,1396.25,587.10,117,27
PROD-0105,Yoga Mat 105,Sports,1384.48,932.53,243,59
PROD-0106,Bluetooth Speaker 106,Electronics,233.27,174.04,490,76
PROD-0107,Coffee Maker 107,Home,608.86,414.17,182,101
PROD-0108,Smart Watch 108,Electronics,54.22,20.35,297,27
PROD-0109,Smart Watch 109,Electronics,632.65,301.82,399,76
PROD-0110,Bluetooth Speaker 110,Electronics,1484.79,1083.35,545,42
PROD-0111,Table Lamp 111,Home,29.53,21.14,645,136
PROD-0112,Wireless Headphones 112,Electronics,516.57,321.39,933,26
PROD-0113,Storage Basket 113,Home,1190.47,828.59,269,34
PROD-0114,Cookbook 114,Books,289.14,139.14,918,68
PROD-0115,Face Cleanser 115,Beauty,1159.17,523.23,287,20
PROD-0116,Training Gloves 116,Sports,321.16,211.22,886,108
PROD-0117,Wool Sweater 117,Clothing,222.13,108.50,921,110
PROD-0118,Business Strategy 118,Books,1047.77,746.36,847,57
PROD-0119,Storage Basket 119,Home,119.48,72.35,126,78
PROD-0120,Wireless Headphones 120,Electronics,390.24,159.53,750,13
PROD-0121,Cookbook 121,Books,794.90,572.96,205,75
PROD-0122,Coffee Maker 122,Home,1313.37,980.53,647,115
PROD-0123,Throw Pillow 123,Home,811.65,312.60,216,6
PROD-0124,Water Bottle 124,Sports,524.14,301.94,370,8
PROD-0125,Data Engineering Guide 125,Books,1397.46,620.18,353,92
PROD-0126,Coffee Maker 126,Home,1183.01,782.09,746,82
PROD-0127,Hair Serum 127,Beauty,979.55,603.46,742,64
PROD-0128,Resistance Bands 128,Sports,90.66,40.77,135,78
PROD-0129,Face Cleanser 129,Beauty,376.00,192.89,290,80
PROD-0130,Data Engineering Guide 130,Books,1166.83,844.91,618,23
PROD-0131,Wireless Headphones 131,Electronics,235.36,102.69,742,108
PROD-0132,Yoga Mat 132,Sports,1421.69,823.65,45,16
PROD-0133,Cotton T-Shirt 133,Clothing,212.94,93.54,330,29
PROD-0134,Resistance Bands 134,Sports,378.51,196.31,527,111
PROD-0135,Table Lamp 135,Home,769.74,383.14,341,121
PROD-0136,Yoga Mat 136,Sports,317.17,126.91,155,102
PROD-0137,Yoga Mat 137,Sports,652.14,333.99,764,139
PROD-0138,Hair Serum 138,Beauty,208.80,159.36,288,47
PROD-0139,Modern Fiction 139,Books,294.63,205.00,146,112
PROD-0140,Modern Fiction 140,Books,461.12,197.20,389,45
PROD-0141,Face Cleanser 141,Beauty,656.09,365.90,252,110
PROD-0142,Wool Sweater 142,Clothing,245.38,116.84,102,74
PROD-0143,Hair Serum 143,Beauty,139.72,70.30,778,103
PROD-0144,Data Engineering Guide 144,Books,729.10,520.64,889,122
PROD-0145,Modern Fiction 145,Books,1140.02,756.68,617,107
PROD-0146,Coffee Maker 146,Home,658.67,253.22,299,64
PROD-0147,Face Cleanser 147,Beauty,41.84,21.84,381,148
PROD-0148,Training Gloves 148,Sports,947.48,581.70,496,87
PROD-0149,Cotton T-Shirt 149,Clothing,804.53,583.92,235,53
PROD-0150,Webcam 150,Electronics,510.35,315.61,460,71
PROD-0151,Hair Serum 151,Beauty,910.20,598.94,727,17
PROD-0152,Hair Serum 152,Beauty,907.25,433.56,378,14
PROD-0153,Webcam 153,Electronics,1404.92,634.36,74,25
PROD-0154,Table Lamp 154,Home,535.45,356.65,681,74
PROD-0155,Cotton T-Shirt 155,Clothing,655.30,401.68,839,144
PROD-0156,Coffee Maker 156,Home,447.51,199.50,687,11
PROD-0157,Data Engineering Guide 157,Books,377.70,275.62,168,53
PROD-0158,Bluetooth Speaker 158,Electronics,635.16,411.72,844,101
PROD-0159,Smart Watch 159,Electronics,1443.19,593.54,197,118
PROD-0160,Coffee Maker 160,Home,844.06,552.97,588,79
PROD-0161,Storage Basket 161,Home,1404.46,657.72,511,99
PROD-0162,Yoga Mat 162,Sports,1281.35,983.70,532,79
PROD-0163,Yoga Mat 163,Sports,615.67,438.29,745,142
PROD-0164,Sunscreen 164,Beauty,892.43,653.17,56,54
PROD-0165,Webcam 165,Electronics,71.69,39.09,303,122
PROD-0166,Storage Basket 166,Home,231.31,140.96,789,139
PROD-0167,Webcam 167,Electronics,326.42,173.22,933,35
PROD-0168,Table Lamp 168,Home,1152.87,763.26,119,91
PROD-0169,Data Engineering Guide 169,Books,1347.33,868.79,288,49
PROD-0170,Cotton T-Shirt 170,Clothing,1484.13,885.58,159,79
PROD-0171,Modern Fiction 171,Books,1415.57,957.31,481,102
PROD-0172,Yoga Mat 172,Sports,1346.59,546.60,306,104
PROD-0173,Face Cleanser 173,Beauty,1066.42,475.87,447,135
PROD-0174,Data Engineering Guide 174,Books,572.24,436.80,590,62
PROD-0175,Wool Sweater 175,Clothing,165.85,89.79,591,64
PROD-0176,Resistance Bands 176,Sports,1470.47,544.95,767,50
PROD-0177,Yoga Mat 177,Sports,830.55,528.56,335,103
PROD-0178,Webcam 178,Electronics,701.82,498.84,944,134
PROD-0179,Wireless Headphones 179,Electronics,858.10,387.77,448,10
PROD-0180,Smart Watch 180,Electronics,1142.60,575.49,400,85
PROD-0181,Business Strategy 181,Books,34.58,14.73,89,48
PROD-0182,Cookbook 182,Books,562.80,390.64,499,125
PROD-0183,Face Cleanser 183,Beauty,1262.08,907.16,805,26
PROD-0184,Hair Serum 184,Beauty,779.55,592.85,596,92
PROD-0185,Running Shoes 185,Clothing,226.02,167.19,533,96
PROD-0186,Body Lotion 186,Beauty,734.57,447.04,910,64
PROD-0187,Body Lotion 187,Beauty,1025.48,597.61,775,142
PROD-0188,Throw Pillow 188,Home,29.33,18.95,896,124
PROD-0189,Training Gloves 189,Sports,91.79,52.29,169,141
PROD-0190,Body Lotion 190,Beauty,799.77,288.32,444,62
PROD-0191,Training Gloves 191,Sports,1073.28,741.53,812,71
PROD-0192,Wireless Headphones 192,Electronics,1337.75,874.86,779,62
PROD-0193,Training Gloves 193,Sports,644.67,415.17,699,22
PROD-0194,Training Gloves 194,Sports,219.82,134.85,584,24
PROD-0195,Webcam 195,Electronics,108.61,69.23,64,41
PROD-0196,Yoga Mat 196,Sports,863.85,563.17,888,135
PROD-0197,Modern Fiction 197,Books,469.50,355.81,21,5
PROD-0198,Denim Jacket 198,Clothing,583.19,272.34,770,38
PROD-0199,Wireless Headphones 199,Electronics,1342.74,881.62,507,32
PROD-0200,Table Lamp 200,Home,741.00,504.28,180,64
PROD-0201,Bluetooth Speaker 201,Electronics,784.19,608.29,24,8
PROD-0202,Water Bottle 202,Sports,1161.45,537.84,67,23
PROD-0203,Body Lotion 203,Beauty,1480.43,1057.19,292,54
PROD-0204,Sunscreen 204,Beauty,195.67,81.42,240,41
PROD-0205,Denim Jacket 205,Clothing,358.43,156.59,276,131
PROD-0206,Wireless Headphones 206,Electronics,754.75,496.04,570,92
PROD-0207,Cookbook 207,Books,1093.32,417.87,763,114
PROD-0208,Modern Fiction 208,Books,38.47,19.54,953,134
PROD-0209,Body Lotion 209,Beauty,268.36,195.94,255,109
PROD-0210,Throw Pillow 210,Home,825.26,359.50,674,119
PROD-0211,Storage Basket 211,Home,137.02,68.61,958,150
PROD-0212,Business Strategy 212,Books,400.42,275.19,589,141
PROD-0213,Table Lamp 213,Home,1395.51,928.44,51,31
PROD-0214,Training Gloves 214,Sports,1474.81,1063.10,658,70
PROD-0215,Bluetooth Speaker 215,Electronics,1235.75,941.09,681,112
PROD-0216,Smart Watch 216,Electronics,598.23,372.34,948,128
PROD-0217,Water Bottle 217,Sports,893.82,577.31,920,134
PROD-0218,Wireless Headphones 218,Electronics,500.07,315.91,91,90
PROD-0219,Resistance Bands 219,Sports,1064.57,807.94,308,43
PROD-0220,Running Shoes 220,Clothing,1349.60,487.72,331,25
PROD-0221,Running Shoes 221,Clothing,678.59,274.38,174,79
PROD-0222,Denim Jacket 222,Clothing,212.99,132.88,141,109
PROD-0223,Webcam 223,Electronics,544.58,204.50,350,115
PROD-0224,Modern Fiction 224,Books,737.01,343.46,847,31
PROD-0225,Data Engineering Guide 225,Books,1408.08,1080.33,333,6
PROD-0226,Throw Pillow 226,Home,793.82,398.29,391,128
PROD-0227,Body Lotion 227,Beauty,419.36,153.84,530,99
PROD-0228,Table Lamp 228,Home,843.82,555.65,609,86
PROD-0229,Resistance Bands 229,Sports,1332.26,794.20,284,102
PROD-0230,Resistance Bands 230,Sports,944.70,418.40,325,48
PROD-0231,Body Lotion 231,Beauty,891.76,564.04,398,107
PROD-0232,Wireless Headphones 232,Electronics,570.84,237.18,698,21
PROD-0233,Hair Serum 233,Beauty,577.28,351.53,190,83
PROD-0234,Throw Pillow 234,Home,953.36,502.88,90,81
PROD-0235,Business Strategy 235,Books,1436.36,514.92,138,124
PROD-0236,Wireless Headphones 236,Electronics,217.11,136.20,439,123
PROD-0237,Cotton T-Shirt 237,Clothing,760.98,444.97,117,104
PROD-0238,Modern Fiction 238,Books,1161.80,735.72,91,21
PROD-0239,Cotton T-Shirt 239,Clothing,1083.94,403.60,456,95
PROD-0240,Smart Watch 240,Electronics,784.46,335.06,140,16
PROD-0241,Wool Sweater 241,Clothing,376.08,189.63,777,11
PROD-0242,Table Lamp 242,Home,189.97,96.98,131,23
PROD-0243,Business Strategy 243,Books,438.45,340.92,502,149
PROD-0244,Face Cleanser 244,Beauty,1369.35,535.70,287,87
PROD-0245,Coffee Maker 245,Home,1257.32,763.65,653,54
PROD-0246,Yoga Mat 246,Sports,664.49,287.15,172,85
PROD-0247,Hair Serum 247,Beauty,957.64,441.10,885,68
PROD-0248,Yoga Mat 248,Sports,1157.62,857.60,504,5
PROD-0249,Cookbook 249,Books,1430.22,808.21,490,83
PROD-0250,Sunscreen 250,Beauty,684.16,355.94,982,10
PROD-0251,Business Strategy 251,Books,304.71,190.75,306,68
PROD-0252,Smart Watch 252,Electronics,297.03,162.55,348,83
PROD-0253,Yoga Mat 253,Sports,532.95,411.68,219,44
PROD-0254,Hair Serum 254,Beauty,1450.07,831.10,239,5
PROD-0255,Hair Serum 255,Beauty,677.32,402.64,420,80
PROD-0256,Wireless Headphones 256,Electronics,1316.80,635.98,376,112
PROD-0257,Throw Pillow 257,Home,1179.75,498.79,440,84
PROD-0258,Face Cleanser 258,Beauty,1336.22,703.20,111,82
PROD-0259,Bluetooth Speaker 259,Electronics,47.07,22.48,898,113
PROD-0260,Coffee Maker 260,Home,1368.27,561.09,795,14
PROD-0261,Webcam 261,Electronics,935.47,360.60,584,85
PROD-0262,Denim Jacket 262,Clothing,1033.94,586.71,388,106
PROD-0263,Running Shoes 263,Clothing,679.66,299.00,860,24
PROD-0264,Sunscreen 264,Beauty,1175.67,422.46,204,60
PROD-0265,Body Lotion 265,Beauty,927.49,675.68,878,57
PROD-0266,Cookbook 266,Books,190.20,98.20,812,14
PROD-0267,Cotton T-Shirt 267,Clothing,1219.21,850.63,259,69
PROD-0268,Throw Pillow 268,Home,1111.72,683.30,34,5
PROD-0269,Water Bottle 269,Sports,1467.18,568.86,500,86
PROD-0270,Sunscreen 270,Beauty,699.13,413.63,419,131
PROD-0271,Wireless Headphones 271,Electronics,371.73,276.52,493,61
PROD-0272,Smart Watch 272,Electronics,223.56,81.25,432,5
PROD-0273,Modern Fiction 273,Books,821.87,386.32,298,9
PROD-0274,Running Shoes 274,Clothing,222.79,112.30,141,95
PROD-0275,Webcam 275,Electronics,298.75,115.88,105,9
PROD-0276,Training Gloves 276,Sports,1105.22,486.59,303,19
PROD-0277,Storage Basket 277,Home,1490.51,815.37,757,109
PROD-0278,Water Bottle 278,Sports,862.33,610.93,402,71
PROD-0279,Water Bottle 279,Sports,594.98,276.79,393,62
PROD-0280,Modern Fiction 280,Books,908.03,608.55,828,49
PROD-0281,Cotton T-Shirt 281,Clothing,247.09,124.73,603,140
PROD-0282,Modern Fiction 282,Books,224.61,146.26,966,126
PROD-0283,Webcam 283,Electronics,173.51,114.02,668,146
PROD-0284,Modern Fiction 284,Books,145.06,90.15,267,37
PROD-0285,Wireless Headphones 285,Electronics,582.09,347.08,200,115
PROD-0286,Modern Fiction 286,Books,434.99,153.04,454,123
PROD-0287,Denim Jacket 287,Clothing,943.96,410.77,403,73
PROD-0288,Business Strategy 288,Books,1441.07,543.85,96,14
PROD-0289,Wireless Headphones 289,Electronics,715.08,306.25,157,23
PROD-0290,Denim Jacket 290,Clothing,314.27,143.14,250,19
PROD-0291,Storage Basket 291,Home,1325.68,606.26,547,10
PROD-0292,Data Engineering Guide 292,Books,684.53,497.89,278,141
PROD-0293,Training Gloves 293,Sports,273.46,107.46,439,43
PROD-0294,Table Lamp 294,Home,195.62,88.08,704,97
PROD-0295,Table Lamp 295,Home,891.67,317.09,712,18
PROD-0296,Throw Pillow 296,Home,1007.71,374.32,110,37
PROD-0297,Denim Jacket 297,Clothing,443.73,233.93,716,98
PROD-0298,Denim Jacket 298,Clothing,772.27,303.97,871,8
PROD-0299,Wool Sweater 299,Clothing,403.86,303.66,742,15
PROD-0300,Business Strategy 300,Books,866.97,622.40,874,71
PROD-0301,Sunscreen 301,Beauty,851.94,599.64,267,108
PROD-0302,Data Engineering Guide 302,Books,345.63,167.51,55,40
PROD-0303,Smart Watch 303,Electronics,20.11,15.56,483,118
PROD-0304,Hair Serum 304,Beauty,561.41,325.57,992,34
PROD-0305,Cotton T-Shirt 305,Clothing,1246.22,819.92,487,38
PROD-0306,Water Bottle 306,Sports,344.22,231.41,952,71
PROD-0307,Running Shoes 307,Clothing,1281.13,722.45,100,44
PROD-0308,Training Gloves 308,Sports,143.66,61.30,601,35
PROD-0309,Hair Serum 309,Beauty,1130.58,876.10,808,101
PROD-0310,Denim Jacket 310,Clothing,974.44,732.75,760,103
PROD-0311,Storage Basket 311,Home,638.41,365.97,729,143
PROD-0312,Smart Watch 312,Electronics,755.89,441.39,730,139
PROD-0313,Face Cleanser 313,Beauty,1111.75,599.90,173,29
PROD-0314,Water Bottle 314,Sports,91.73,42.45,537,42
PROD-0315,Resistance Bands 315,Sports,665.94,336.28,321,78
PROD-0316,Face Cleanser 316,Beauty,711.89,416.85,443,12
PROD-0317,Resistance Bands 317,Sports,827.66,416.51,261,73
PROD-0318,Coffee Maker 318,Home,1303.25,966.39,819,110
PROD-0319,Sunscreen 319,Beauty,677.25,263.15,711,124
PROD-0320,Body Lotion 320,Beauty,21.50,9.48,304,27
PROD-0321,Wireless Headphones 321,Electronics,1315.57,855.30,175,81
PROD-0322,Cotton T-Shirt 322,Clothing,1390.96,532.84,682,33
PROD-0323,Bluetooth Speaker 323,Electronics,1065.45,545.56,735,105
PROD-0324,Throw Pillow 324,Home,1319.49,869.34,731,10
PROD-0325,Body Lotion 325,Beauty,754.38,465.16,984,104
PROD-0326,Storage Basket 326,Home,1015.02,753.92,517,52
PROD-0327,Bluetooth Speaker 327,Electronics,1468.94,885.91,769,143
PROD-0328,Smart Watch 328,Electronics,775.14,572.55,930,16
PROD-0329,Sunscreen 329,Beauty,63.87,34.71,211,20
PROD-0330,Cotton T-Shirt 330,Clothing,1402.10,675.27,291,101
PROD-0331,Hair Serum 331,Beauty,459.90,326.01,63,31
PROD-0332,Denim Jacket 332,Clothing,805.22,307.80,999,58
PROD-0333,Hair Serum 333,Beauty,605.89,253.24,233,144
PROD-0334,Smart Watch 334,Electronics,674.37,247.78,872,62
PROD-0335,Water Bottle 335,Sports,1059.11,482.78,842,130
PROD-0336,Hair Serum 336,Beauty,110.33,72.28,586,21
PROD-0337,Bluetooth Speaker 337,Electronics,461.06,231.81,458,148
PROD-0338,Data Engineering Guide 338,Books,515.65,291.48,768,16
PROD-0339,Data Engineering Guide 339,Books,1140.46,888.28,30,17
PROD-0340,Yoga Mat 340,Sports,1476.49,1084.46,688,77
PROD-0341,Cotton T-Shirt 341,Clothing,1096.71,797.53,606,74
PROD-0342,Yoga Mat 342,Sports,1055.88,592.98,622,45
PROD-0343,Cotton T-Shirt 343,Clothing,558.64,313.16,70,53
PROD-0344,Water Bottle 344,Sports,568.88,409.63,967,122
PROD-0345,Denim Jacket 345,Clothing,43.87,17.70,405,142
PROD-0346,Face Cleanser 346,Beauty,566.26,380.35,899,44
PROD-0347,Cotton T-Shirt 347,Clothing,907.95,441.98,28,18
PROD-0348,Body Lotion 348,Beauty,533.85,363.99,758,80
PROD-0349,Resistance Bands 349,Sports,460.96,261.71,405,39
PROD-0350,Water Bottle 350,Sports,875.14,624.47,418,94
PROD-0351,Cotton T-Shirt 351,Clothing,1022.24,488.61,613,129
PROD-0352,Table Lamp 352,Home,191.43,115.46,724,6
PROD-0353,Business Strategy 353,Books,1281.87,834.45,341,67
PROD-0354,Wool Sweater 354,Clothing,1068.69,641.45,812,57
PROD-0355,Wireless Headphones 355,Electronics,1287.38,472.75,427,52
PROD-0356,Webcam 356,Electronics,1273.68,508.32,707,58
PROD-0357,Data Engineering Guide 357,Books,1396.01,991.55,910,146
PROD-0358,Face Cleanser 358,Beauty,841.61,570.94,665,91
PROD-0359,Coffee Maker 359,Home,483.27,220.96,134,8
PROD-0360,Resistance Bands 360,Sports,1317.94,753.76,96,35
PROD-0361,Water Bottle 361,Sports,582.83,380.48,670,49
PROD-0362,Yoga Mat 362,Sports,314.11,154.04,192,139
PROD-0363,Sunscreen 363,Beauty,135.52,72.25,383,125
PROD-0364,Throw Pillow 364,Home,1158.91,463.58,851,134
PROD-0365,Resistance Bands 365,Sports,973.52,558.09,72,61
PROD-0366,Training Gloves 366,Sports,273.08,112.33,201,138
PROD-0367,Coffee Maker 367,Home,172.34,116.84,810,57
PROD-0368,Cotton T-Shirt 368,Clothing,1093.84,522.61,469,28
PROD-0369,Data Engineering Guide 369,Books,576.09,207.94,284,24
PROD-0370,Water Bottle 370,Sports,1384.88,869.15,787,51
PROD-0371,Webcam 371,Electronics,214.85,150.14,661,80
PROD-0372,Modern Fiction 372,Books,631.82,378.29,433,95
PROD-0373,Throw Pillow 373,Home,824.80,361.70,759,36
PROD-0374,Throw Pillow 374,Home,1458.00,1059.96,393,95
PROD-0375,Storage Basket 375,Home,746.37,481.53,361,51
PROD-0376,Training Gloves 376,Sports,1346.20,782.26,631,130
PROD-0377,Table Lamp 377,Home,378.38,197.58,30,30
PROD-0378,Wireless Headphones 378,Electronics,885.36,400.82,530,86
PROD-0379,Sunscreen 379,Beauty,1289.13,508.01,607,71
PROD-0380,Resistance Bands 380,Sports,97.48,58.47,287,61
PROD-0381,Hair Serum 381,Beauty,1295.37,730.12,406,45
PROD-0382,Training Gloves 382,Sports,247.47,126.66,590,17
PROD-0383,Cookbook 383,Books,1229.25,704.81,882,104
PROD-0384,Sunscreen 384,Beauty,328.99,177.32,714,9
PROD-0385,Modern Fiction 385,Books,261.33,179.36,682,53
PROD-0386,Modern Fiction 386,Books,1014.47,403.73,870,110
PROD-0387,Webcam 387,Electronics,247.81,87.10,739,131
PROD-0388,Resistance Bands 388,Sports,1062.10,456.77,433,62
PROD-0389,Denim Jacket 389,Clothing,838.65,494.50,992,150
PROD-0390,Denim Jacket 390,Clothing,67.15,35.28,501,97
PROD-0391,Throw Pillow 391,Home,1058.95,778.72,64,37
PROD-0392,Wool Sweater 392,Clothing,532.99,218.19,866,82
PROD-0393,Storage Basket 393,Home,741.73,307.04,956,150
PROD-0394,Cotton T-Shirt 394,Clothing,83.42,64.26,437,7
PROD-0395,Cookbook 395,Books,1263.31,873.11,794,14
PROD-0396,Bluetooth Speaker 396,Electronics,1177.42,433.67,715,6
PROD-0397,Denim Jacket 397,Clothing,1268.06,456.42,329,137
PROD-0398,Wool Sweater 398,Clothing,1188.21,720.09,386,48
PROD-0399,Cotton T-Shirt 399,Clothing,1277.20,474.54,184,66
PROD-0400,Yoga Mat 400,Sports,685.66,285.74,565,15
PROD-0401,Training Gloves 401,Sports,1443.22,783.44,849,113
PROD-0402,Coffee Maker 402,Home,452.76,290.78,584,36
PROD-0403,Throw Pillow 403,Home,1047.42,451.00,504,54
PROD-0404,Hair Serum 404,Beauty,1197.70,561.87,841,10
PROD-0405,Wool Sweater 405,Clothing,1349.59,854.90,876,26
PROD-0406,Yoga Mat 406,Sports,713.03,451.55,811,89
PROD-0407,Hair Serum 407,Beauty,1496.59,634.30,24,9
PROD-0408,Hair Serum 408,Beauty,241.42,178.99,39,19
PROD-0409,Table Lamp 409,Home,8.03,5.75,318,100
PROD-0410,Bluetooth Speaker 410,Electronics,1389.80,1059.28,104,51
PROD-0411,Cookbook 411,Books,1143.11,837.92,165,146
PROD-0412,Smart Watch 412,Electronics,904.50,378.59,845,20
PROD-0413,Webcam 413,Electronics,1005.56,389.55,260,110
PROD-0414,Bluetooth Speaker 414,Electronics,454.58,299.88,284,142
PROD-0415,Bluetooth Speaker 415,Electronics,307.97,219.48,531,68
PROD-0416,Hair Serum 416,Beauty,957.26,386.42,177,22
PROD-0417,Yoga Mat 417,Sports,17.11,10.07,477,55
